"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -2.05165973389E+000, +0.00000000000E+000
+5.09950000000E+006, -1.14671261434E-001, +0.00000000000E+000
+1.00990000000E+007, +7.32419566732E-001, +0.00000000000E+000
+1.50985000000E+007, +2.31946382753E+000, +0.00000000000E+000
+2.00980000000E+007, +7.70948285501E+000, +0.00000000000E+000
+2.50975000000E+007, +3.64900478157E+000, +0.00000000000E+000
+3.00970000000E+007, +1.23325016073E+000, +0.00000000000E+000
+3.50965000000E+007, +2.87979427897E-001, +0.00000000000E+000
+4.00960000000E+007, -6.16063936305E-001, +0.00000000000E+000
+4.50955000000E+007, +3.25545522930E-002, +0.00000000000E+000
+5.00950000000E+007, -1.87910836577E-001, +0.00000000000E+000
+5.50945000000E+007, -6.23228040502E-002, +0.00000000000E+000
+6.00940000000E+007, +2.55678061381E-002, +0.00000000000E+000
+6.50935000000E+007, -7.21686304772E-002, +0.00000000000E+000
+7.00930000000E+007, +8.70916109662E-002, +0.00000000000E+000
+7.50925000000E+007, +9.10525934989E-002, +0.00000000000E+000
+8.00920000000E+007, -3.51364344993E-001, +0.00000000000E+000
+8.50915000000E+007, -2.20786034227E-001, +0.00000000000E+000
+9.00910000000E+007, +4.18672800144E-001, +0.00000000000E+000
+9.50905000000E+007, +5.38694949218E-001, +0.00000000000E+000
+1.00090000000E+008, +1.58778994693E-001, +0.00000000000E+000
+1.05089500000E+008, +2.77565776267E-001, +0.00000000000E+000
+1.10089000000E+008, +4.71013764012E-001, +0.00000000000E+000
+1.15088500000E+008, +2.88878103288E-002, +0.00000000000E+000
+1.20088000000E+008, -2.35797087398E-001, +0.00000000000E+000
+1.25087500000E+008, -7.50026108633E-001, +0.00000000000E+000
+1.30087000000E+008, -3.95961127105E-001, +0.00000000000E+000
+1.35086500000E+008, -7.38619599293E-001, +0.00000000000E+000
+1.40086000000E+008, -1.07496412562E+000, +0.00000000000E+000
+1.45085500000E+008, -4.57678067607E-001, +0.00000000000E+000
+1.50085000000E+008, -5.17309671875E-001, +0.00000000000E+000
+1.55084500000E+008, +4.11574502978E-001, +0.00000000000E+000
+1.60084000000E+008, -2.96654581982E-001, +0.00000000000E+000
+1.65083500000E+008, +8.58689230675E-001, +0.00000000000E+000
+1.70083000000E+008, -6.21664441319E-001, +0.00000000000E+000
+1.75082500000E+008, -3.29740044693E-001, +0.00000000000E+000
+1.80082000000E+008, -1.55705808459E+000, +0.00000000000E+000
+1.85081500000E+008, -8.28316661598E-001, +0.00000000000E+000
+1.90081000000E+008, +2.66022469239E-001, +0.00000000000E+000
+1.95080500000E+008, +7.02964765581E-001, +0.00000000000E+000
+2.00080000000E+008, +4.62817454546E-001, +0.00000000000E+000
+2.05079500000E+008, -1.33320643425E-001, +0.00000000000E+000
+2.10079000000E+008, -3.21528446295E-001, +0.00000000000E+000
+2.15078500000E+008, -1.73655193239E-002, +0.00000000000E+000
+2.20078000000E+008, +7.07007308265E-001, +0.00000000000E+000
+2.25077500000E+008, +5.65764765331E-001, +0.00000000000E+000
+2.30077000000E+008, +1.06285729282E+000, +0.00000000000E+000
